id,title,group,row_type,one_liner,context
37,Doc retrieval UI (cheap streamlit query-retrieval tool),G,project,Interfaz liviana para consultar corpus documentales mediante retrieval sin montar una plataforma pesada.,"Este proyecto ofrece una superficie barata y rápida para hacer consultas sobre documentos ya indexados, priorizando utilidad inmediata sobre sofisticación de producto. Su motivación es contar con una forma práctica de probar y usar retrieval sobre corpus propios sin esperar una UI compleja o full-stack. Sigue activo porque te permite validar valor, depurar pipelines y usar conocimiento indexado con baja fricción. El progreso real consiste en mejorar experiencia de consulta, relevancia de resultados y acople limpio con la infraestructura de indexing existente."
51,EPH Survey ML Student Thesis Supervision,G,project,Frente de supervisión técnica para una tesis de ML aplicada a datos de la EPH.,"Este proyecto cubre tu trabajo de acompañamiento, revisión y dirección técnica sobre una tesis estudiantil basada en datos de la EPH y modelos de machine learning. Existe para sostener continuidad, feedback útil y criterio metodológico sin perder tiempo en reentender todo desde cero cada semana. Sigue activo porque la supervisión requiere memoria operativa, control de avances y capacidad de intervenir sobre riesgos metodológicos o de implementación. El progreso real se ve cuando recuperás rápidamente contexto, detectás mejor los puntos críticos y lográs guiar al estudiante hacia avances más sólidos y consolidables."
52,EPH / INDEC Extract & Harmonize,G,project,Pipeline para extraer y armonizar datos de EPH/INDEC en una estructura usable para análisis y modelado.,"Este proyecto se ocupa de tomar fuentes de EPH/INDEC y llevarlas a una forma más homogénea y explotable para análisis, modelado y trabajo académico. Su motivación es reducir la fricción recurrente de trabajar con datos complejos, variables heterogéneas y convenciones cambiantes, creando una base más limpia para downstream. Sigue activo porque la calidad de los análisis y modelos depende mucho de la solidez de la extracción y armonización inicial. El progreso real consiste en mejorar cobertura, consistencia de variables y facilidad de uso del dataset resultante."
H,Research & Academic Pipelines,,group,"Frente de proyectos orientado a convertir investigación, análisis y producción académica en pipelines reutilizables y superficies publicables.","Este grupo reúne proyectos que toman materiales de investigación, datos, papers o narrativas académicas y los transforman en artefactos más estructurados, visibles y sostenibles. Su propósito es reducir la distancia entre trabajo intelectual profundo y superficies concretas de publicación, análisis o posicionamiento académico. Sigue activo porque gran parte del valor de tu trabajo científico depende de que pueda materializarse en formatos navegables, publicables o reutilizables. El progreso real en este grupo se ve cuando los pipelines reducen fricción, vuelven más operable la producción académica y generan salidas más claras para comunicar o investigar."
31,Thesis-to-Web Portal,H,project,Pipeline para convertir tu tesis y sus ideas en una superficie web navegable y más accesible.,"Este proyecto busca transformar el contenido de tu tesis en un portal o superficie web que haga sus ideas más legibles, navegables y reutilizables para audiencias más amplias. Existe para evitar que un trabajo intelectualmente valioso quede encerrado en un documento difícil de recorrer, y para convertirlo en una base de contenido con mayor circulación. Sigue activo porque tu tesis conserva valor conceptual y puede alimentar posicionamiento, divulgación y nuevas piezas derivadas. El progreso real consiste en estructurar mejor el contenido, materializarlo en páginas útiles y reducir la fricción entre texto académico denso y lectura pública o semipública."
39,Paper Production Lab,H,project,"Laboratorio para diseñar, incubar y acelerar la producción de papers o piezas académicas más formales.","Este proyecto funciona como un espacio de trabajo orientado a pasar de ideas, notebooks, notas o hallazgos dispersos a piezas académicas con forma más publicable. Existe para crear una capa intermedia entre investigación exploratoria y producción formal, reduciendo la fricción de estructurar argumentos, materiales y flujos de escritura. Sigue activo porque tenés contenido técnico y conceptual con potencial académico que necesita una fábrica más disciplinada para llegar a paper. El progreso real consiste en convertir más material preliminar en drafts estructurados, clarificar líneas de publicación y sostener un flujo más realista de producción académica."
I,Communication & CRM Systems,,group,"Frente de proyectos dedicado a organizar relaciones, contactos, seguimiento y acción sostenida sobre redes humanas.","Este grupo reúne sistemas para gestionar vínculos, contactos, campañas de outreach y lectura estructurada de redes relacionales en distintos ámbitos. Su propósito es convertir relaciones y oportunidades en un frente gobernable, con memoria, prioridades y acciones sostenidas, en lugar de dejar todo librado a recordación espontánea. Sigue activo porque una parte importante de tus oportunidades, incidencia y continuidad profesional o política depende de sostener bien esta capa. El progreso real en este grupo se ve cuando los contactos quedan mejor estructurados, los seguimientos son más consistentes y las herramientas realmente ayudan a activar relaciones con criterio."
55,CRM / Relational Layer,I,project,"Capa general para organizar contactos, vínculos y seguimiento relacional dentro de tu ecosistema.","Este proyecto funciona como la base general de tu sistema de CRM y gestión relacional, integrando contactos, estados, prioridades y posibles acciones en una estructura más coherente. Existe para que tu red de vínculos no quede como un conjunto de listas dispersas o impulsos intermitentes, sino como una capa con memoria y criterio operativo. Sigue activo porque el trabajo relacional atraviesa múltiples frentes y requiere una infraestructura común. El progreso real consiste en mejorar la estructura de datos, facilitar consulta y seguimiento, y lograr que la capa relacional sirva realmente para sostener continuidad."
57.2,Political Influence CRM & Network Graph,I,project,"CRM político con capa de grafo para leer actores, vínculos e influencia dentro de redes relevantes.","Este proyecto extiende la lógica de CRM hacia un uso político e institucional más analítico, incorporando lectura de redes, relaciones e influencia entre actores. Su motivación es pasar de listas de personas a una representación más rica del terreno relacional, capaz de mostrar conexiones, nodos importantes y posibles recorridos de acción. Sigue activo porque la política y la incidencia institucional dependen mucho de entender estructura relacional además de nombres sueltos. El progreso real se ve cuando el grafo es más interpretable, la información es más accionable y la herramienta ayuda a orientar movimientos concretos."
59,Outreach Scheduler (Rolling contact lists),I,project,Sistema para calendarizar y sostener outreach recurrente mediante listas rodantes de contacto.,"Este proyecto busca convertir la intención de mantener vínculos en un flujo calendarizado y más estable de acciones de outreach. Existe para evitar que el contacto con personas importantes quede librado a impulsos esporádicos, y para sostener un ritmo más razonable de presencia y seguimiento. Sigue activo porque la constancia relacional requiere una capa que ayude a priorizar, distribuir y recordar contactos en el tiempo. El progreso real consiste en tener listas más útiles, scheduling más realista y una herramienta que efectivamente aumente continuidad sin generar sobrecarga."
60,Job market focused CRM,I,project,"CRM especializado para seguir contactos, oportunidades y procesos ligados al mercado laboral.","Este proyecto aplica lógica de CRM al frente laboral, estructurando contactos, oportunidades, recruiters, procesos y posibles acciones dentro de una misma superficie. Su motivación es profesionalizar la búsqueda de trabajo y evitar que oportunidades laborales queden desperdigadas entre chats, mails y memoria informal. Sigue activo porque la búsqueda laboral tiene una dimensión fuertemente relacional además de pipeline técnico. El progreso real se ve cuando el sistema mejora seguimiento, ayuda a priorizar vínculos útiles y facilita convertir contactos en acciones concretas."
62,Political Campaign Support CRM,I,project,CRM orientado a sostener trabajo de apoyo político o de campaña con mejor memoria y seguimiento.,"Este proyecto organiza contactos, tareas y seguimientos vinculados a apoyo político o trabajo de campaña, buscando una estructura más sostenida que la coordinación improvisada. Existe para dar memoria operativa a un frente donde suelen cruzarse personas, temas, acciones y momentos sensibles en el tiempo. Sigue activo porque puede mejorar capacidad de coordinación, seguimiento y preparación dentro de contextos políticos exigentes. El progreso real consiste en ordenar mejor actores y acciones, reducir olvido y producir una superficie realmente útil para apoyar trabajo político."
63,"Thematic sheets: Family, Dipus, SSSUP, Media, CC LCD.",I,project,Conjunto de hojas temáticas para seguir frentes específicos con contexto y memoria operativa propios.,"Este proyecto reúne sheets o superficies temáticas dedicadas a distintos universos de seguimiento, como familia, actores políticos, medios o espacios institucionales concretos. Su motivación es separar frentes heterogéneos en superficies especializadas que mantengan contexto sin obligarte a mezclar todo en una sola capa general. Sigue activo porque varios de tus frentes requieren memoria local, criterios propios y observación sostenida. El progreso real se ve cuando cada hoja es más clara, mantiene contexto útil y reduce trabajo de reconstrucción al volver sobre un frente."
12,Opportunity tracker,I,project,"Tracker general para registrar, comparar y priorizar oportunidades en distintos frentes.","Este proyecto funciona como una superficie de seguimiento de oportunidades que pueden venir del mercado laboral, redes, investigación o ámbitos institucionales. Existe para no perder oportunidades relevantes entre múltiples canales y para darles una estructura que permita compararlas y decidir con más criterio. Sigue activo porque tu entorno genera muchas posibles aperturas, pero sin tracking se diluyen o compiten caóticamente. El progreso real consiste en mejorar captura, priorización y next actions, de modo que el tracker ayude realmente a decidir y no sea solo un depósito."
J,Automation & Business Systems,,group,"Frente de proyectos orientado a empaquetar capacidades, playbooks y sistemas de automatización con potencial más productivo o comercial.","Este grupo reúne proyectos que no solo automatizan tareas, sino que buscan convertir esa automatización en capacidades organizables, transferibles o incluso monetizables. Su propósito es estructurar saber hacer técnico y operativo en paquetes, marcos o sistemas que puedan servir para crecimiento, entrenamiento, estrategia o nuevos productos. Sigue activo porque conecta tu ecosistema personal con una posible capa de negocio, servicio o escalamiento de capacidades. El progreso real en este grupo se ve cuando las piezas se vuelven más empaquetables, más claras como oferta o framework y más útiles fuera del contexto puramente personal."
88,Private training department - training and distillation,J,project,"Sistema para entrenamiento y destilación interna de capacidades, materiales y know-how.","Este proyecto apunta a construir una especie de departamento privado de training donde procesos, materiales y aprendizajes puedan ser destilados en formas más reutilizables. Existe para no depender solo de experiencia tácita y para convertir conocimiento operativo o técnico en activos más enseñables y transferibles. Sigue activo porque la capacidad de entrenar y destilar saber hacer puede potenciar tanto tu propio trabajo como futuros productos, equipos o colaboraciones. El progreso real consiste en clarificar módulos de entrenamiento, capturar mejor conocimiento y producir materiales que sirvan efectivamente para formar o replicar capacidades."
75,Growth & Automation Playbook,J,project,"Playbook para conectar automatización con crecimiento, adquisición de oportunidades y expansión de capacidades.","Este proyecto busca organizar en un marco común las tácticas, sistemas y principios que vinculan automatización con crecimiento personal, profesional o de negocio. Su motivación es pasar de automatizaciones aisladas a una lógica más estratégica sobre cómo esas capacidades generan expansión real. Sigue activo porque muchas piezas de tu ecosistema podrían servir no solo para ahorrar tiempo, sino para abrir oportunidades y escalar impacto. El progreso real se ve cuando el playbook articula casos de uso claros, mejores secuencias de acción y marcos más reutilizables para crecimiento asistido."
77,Institutional Strategy Framework,J,project,Framework para pensar y ordenar estrategia institucional en frentes complejos y de mediano plazo.,"Este proyecto reúne conceptos, criterios y estructuras para leer situaciones institucionales y decidir líneas de acción con mayor claridad. Existe para que la estrategia institucional no quede reducida a intuiciones del momento, sino que pueda apoyarse en un marco más explícito y reusable. Sigue activo porque varios de tus frentes se desarrollan dentro de contextos institucionales con múltiples actores, restricciones y tiempos superpuestos. El progreso real consiste en volver el framework más aplicable, más claro para orientar decisiones y más útil para traducir lectura política en acción estructurada."
90,Mind Debrief & Session Summaries - produces raw sessions (voice or text),J,project,Sistema de debrief y resumen de sesiones que transforma voz o texto en sesiones crudas reutilizables.,"Este proyecto busca capturar debriefs mentales y cierres de sesión en formato de voz o texto, convirtiéndolos en sesiones crudas que luego pueden entrar a otros pipelines de resumen, publicación o memoria. Su motivación es reducir la pérdida de contexto al terminar bloques de trabajo y hacer más fácil registrar qué pasó sin exigir escritura elaborada. Sigue activo porque la captura ligera de sesiones alimenta gran parte de tu ecosistema de conocimiento y mejora reentrada futura. El progreso real consiste en simplificar captura, mejorar estructura de salida y lograr que esas sesiones crudas sean efectivamente aprovechables downstream."
K,Incubator,,group,"Frente de ideas exploratorias, spinoffs y apuestas de producto con potencial técnico o comercial.","Este grupo reúne proyectos incubados que todavía no necesariamente están maduros, pero que exploran posibles productos, servicios o líneas de trabajo con valor técnico, comercial o intelectual. Su función es dar un lugar visible a ideas promisorias sin obligarlas a entrar demasiado pronto en una capa de ejecución pesada. Sigue activo porque varias de estas ideas pueden derivar en ofertas reales, activos reutilizables o pequeños negocios. El progreso real en este grupo se ve cuando una idea gana definición, demuestra tracción o se transforma en una superficie más concreta."
18,Idea Miner,K,project,"Sistema para rescatar ideas valiosas desde trabajo pasado, sesiones o respuestas de GPT.","Este proyecto busca detectar y extraer buenas ideas desde trabajo histórico, sesiones previas o respuestas generadas por GPT, evitando que queden enterradas en grandes volúmenes de texto. Existe para convertir exploración pasada en cantera reutilizable de iniciativas, mejoras o productos potenciales. Sigue activo porque una parte importante de tu capital intelectual ya existe, pero necesita una capa que lo recupere y priorice. El progreso real consiste en extraer ideas más útiles, clasificarlas mejor y volverlas fáciles de revisar o incubar."
26,Knowledge Maps Generator,K,project,"Generador de mapas semánticos para representar temas, corpus o frentes de conocimiento.","Este proyecto apunta a producir representaciones semánticas o cartográficas de distintos universos de conocimiento, de modo que ideas, documentos o áreas temáticas puedan verse como estructuras navegables y no solo como listas. Existe para facilitar síntesis, exploración y comprensión de dominios complejos. Sigue activo porque puede servir como capa transversal para conocimiento, research y comunicación. El progreso real se ve cuando los mapas resultan más interpretables, más útiles para navegación y más conectados con decisiones o superficies downstream."
33,Knowledge Graph of Academic Papers (OpenAlex Integration),K,project,Sistema para organizar papers académicos y sus relaciones mediante una capa tipo grafo apoyada en OpenAlex.,"Este proyecto busca estructurar información sobre papers, autores, temas y vínculos entre publicaciones usando una lógica de knowledge graph, apoyándose en fuentes como OpenAlex. Existe para pasar de colecciones planas de papers a una representación más rica del campo académico y de sus relaciones internas. Sigue activo porque puede alimentar research workflows, wikis académicas y herramientas de exploración bibliográfica. El progreso real consiste en mejorar ingesta, modelado de relaciones y capacidad de navegar o explotar el grafo resultante."
69,AFIPws,K,project,Exploración experimental de servicios web de AFIP como posible capacidad técnica futura.,"Este proyecto surge de una exploración sobre servicios web de AFIP a partir de un repositorio clonado y una posible línea de dominio técnico más que de una necesidad inmediata. Existe como apuesta experimental para entender una tecnología que, si se domina, podría convertirse en servicio profesional o consultoría paga. Sigue activo de forma débil porque aún no es una prioridad, pero conserva valor opcional. El progreso real consiste en entender mejor la tecnología, probar integraciones básicas y decidir con más claridad si merece seguir vivo o archivarse."
72,Superficie Publica Agencia,K,project,Landing pública para ofrecer servicios de IA con una superficie simple de captación y cobro.,"Este proyecto busca crear una superficie pública mínima para una agencia o práctica de servicios de IA, con landing page, posibilidad de reservar reuniones y eventualmente cobrar por sesiones o servicios. Existe para abrir una vía directa de monetización y dar una presencia más concreta a una oferta de ayuda técnica o estratégica que ya podrías prestar. Sigue activo porque podría transformarse rápidamente en un activo comercial con costo acotado. El progreso real se ve cuando la oferta queda más clara, la landing está publicada y el flujo de contacto o cobro funciona de punta a punta."
73,PaperKB Spinoff Research Group Wiki Generator,K,project,Generador de wikis o sitios estáticos para grupos de investigación a partir de su corpus de papers.,"Este proyecto propone tomar el conjunto acotado de papers de un grupo de investigación y convertirlo automáticamente en una wiki o pequeño sitio navegable que represente, resuma y organice ese conocimiento. Existe como posible spinoff comercial de varias piezas que ya venís trabajando en papers, chunking, retrieval y publicación estática. Sigue activo porque es una idea de producto clara, demostrable y potencialmente vendible a grupos académicos. El progreso real consiste en definir mejor el output, automatizar el pipeline y producir una demo convincente sobre un corpus real."
74,Print-on-Demand Art Shop,K,project,Idea de tienda donde usuarios generan imágenes con IA y las mandan a imprimir bajo demanda.,"Este proyecto imagina una superficie comercial donde una persona pueda generar imágenes con modelos y luego pedir su impresión y envío como producto físico. Existe como idea de negocio más que como sistema ya iniciado, explorando una combinación de generación visual, ecommerce y print-on-demand. Sigue activo solo como posibilidad incubada, porque podría abrir una línea comercial distinta si alguna vez se prioriza. El progreso real consistiría en validar el caso de uso, definir el flujo de compra y construir una prueba mínima del recorrido completo."
68,Client Website Pack (hotel+restaurant),K,project,"Paquete de sitios simples para clientes chicos, probado con un hotel y un restaurante cercanos.","Este proyecto surge de intentar producir páginas web relativamente fáciles y rápidas para clientes pequeños, como hoteles o restaurantes, con algunos ejemplos ya armados para personas conocidas. Existe como línea de servicio liviana, aunque la idea general haya perdido prioridad. Sigue activo porque todavía podría cerrarse alguna entrega concreta y capturar algo de valor económico con trabajo ya bastante adelantado. El progreso real consiste en terminar y mostrar los sitios existentes, validarlos con esos clientes y decidir si esta línea queda como microservicio o se archiva."
64,Marketing Funnel & Lead Generation System,K,project,"Sistema de scripts y herramientas para descubrir, almacenar y trabajar leads a escala.","Este proyecto apunta a construir una capa de generación de leads y funnel de marketing usando scripts, almacenamiento y gestión de contactos potenciales. Existe para convertir la búsqueda de clientes u oportunidades en un proceso más sistemático y escalable, en vez de depender de hallazgos manuales aislados. Sigue activo porque podría alimentar varias líneas comerciales o de outreach. El progreso real se ve cuando descubre leads útiles, los estructura mejor y permite pasar de hallazgo a acción comercial con menos trabajo manual."
29,Economic Communication & Atlas Integration,K,project,Frente para articular comunicación económica con activos y superficies del Atlas.,"Este proyecto busca pensar cómo comunicar economía y cómo integrar esa comunicación con activos ya existentes, como mapas, visualizaciones o infraestructura del Atlas. Existe para que la producción técnica y analítica en economía no quede separada de una estrategia de contenido o difusión más clara. Sigue activo porque puede conectar trabajo cuantitativo con presencia pública y narrativa económica. El progreso real consiste en definir mejor los formatos, conectar ideas con superficies existentes y producir piezas que traduzcan análisis en comunicación útil."
36,Academic Paper Management / Citation Extractor,K,project,Herramienta para gestionar información de papers y extraer citas o mensajes relevantes de ellos.,"Este proyecto se centra en organizar información bibliográfica y extraer citas, fragmentos o mensajes relevantes de papers académicos. Existe para convertir lectura académica en una base más utilizable de referencias e ideas, y podría confluir con otros proyectos de papers o knowledge base. Sigue activo porque la gestión fina de citas y contenido de papers puede aportar valor directo a investigación, escritura y productos derivados. El progreso real consiste en mejorar extracción, organización y conexión con otros flujos académicos."
67,"Upwork Outreach Automation, Automate bidding",K,project,Automatización para explorar oportunidades en Upwork y asistir el armado o envío de bids.,"Este proyecto reúne ideas y herramientas para automatizar parte del outreach en Upwork y del proceso de preparar o asistir bids a oportunidades externas. Existe para escalar una tarea repetitiva y aumentar cobertura sin multiplicar en la misma proporción el esfuerzo manual. Sigue activo porque la exploración freelance puede beneficiarse mucho de un pipeline prudente de automatización y seguimiento. El progreso real consiste en mejorar filtros, priorización, preparación de propuestas y control del proceso sin volverlo genérico o frágil."
L,Content & Publishing,,group,"Frente orientado a convertir datos, análisis y activos existentes en publicaciones y documentación sostenibles.","Este grupo reúne proyectos que toman datasets, sistemas o productos existentes y los transforman en documentación, narrativas o piezas publicables. Su función es reducir la distancia entre lo que ya está construido y una capa de salida comunicable y mantenible. Sigue activo porque parte del valor de tus sistemas depende de que puedan explicarse, mantenerse y circular. El progreso real en este grupo se ve cuando la publicación se vuelve más barata, más periódica y más conectada con activos ya existentes."
81,Poverty Atlas — documentation maintenance,L,project,Mantenimiento documental del Poverty Atlas para sostener una superficie explicable y mantenible.,"Este proyecto se ocupa de la documentación del Poverty Atlas, con foco en mantener clara la estructura, uso y lógica del sistema detrás de los mapas y outputs. Existe para que una superficie valiosa no dependa solo de memoria técnica informal y pueda sostenerse mejor en el tiempo. Sigue activo porque la documentación bien mantenida mejora continuidad, handoff y capacidad de evolución del Atlas. El progreso real consiste en tener docs más actualizadas, más claras y más alineadas con el estado real del sistema."
83,Economic Story Engine (data→plot→draft),L,project,Pipeline editorial que convierte señales económicas y datos en gráficos y borradores de notas.,"Este proyecto busca tomar noticias, observaciones económicas o historias relevantes, conectarlas con datasets y una colección de gráficos, y producir a partir de eso borradores baratos de artículos o notas de economía. Existe para abaratar y escalar la producción periódica de contenido económico sin exigir escritura completamente manual de cada pieza. Sigue activo porque puede transformar tu capacidad de publicar en economía con mucha mayor frecuencia. El progreso real consiste en definir mejor las historias tipo, mejorar selección de datos y gráficos, y lograr drafts cada vez más usables como punto de partida editorial."
56,CMS / Narrative Layer (publisher hub),L,project,"Hub editorial para organizar, publicar y gobernar narrativas y contenidos desde una capa común de publicación.","Este proyecto busca crear una capa central desde la cual administrar y publicar contenidos narrativos, académicos o estratégicos de forma más consistente. Su motivación es evitar que cada superficie de salida tenga su propia lógica dispersa y construir un punto de apoyo común para publicación, organización y reuso editorial. Sigue activo porque tu ecosistema ya produce suficiente material como para justificar una capa de publisher hub en lugar de salidas aisladas. El progreso real se ve cuando más contenidos pueden entrar por esa capa, las publicaciones quedan mejor organizadas y la infraestructura editorial reduce trabajo repetitivo."
M,Educational Systems,,group,"Frente de proyectos orientado a generar materiales, plataformas y superficies útiles para enseñanza aplicada.","Este grupo reúne proyectos dedicados a producir materiales docentes, notebooks, hubs de aprendizaje y otras superficies pedagógicas. Su propósito es volver más escalable, reutilizable y visible tu trabajo educativo, especialmente en contextos de formación práctica en ciencia de datos. Sigue activo porque tu rol docente y tus materiales tienen valor sostenido y pueden convertirse en activos durables. El progreso real en este grupo se ve cuando los materiales se generan con menor fricción, las superficies de aprendizaje son más claras y los estudiantes encuentran más valor práctico."
85,AI Teaching Material Generator (notebooks),M,project,Generador de notebooks y materiales docentes a partir de un dataset estructurado de ejercicios.,"Este proyecto usa un dataset de ejercicios y descripciones para generar notebooks y otros materiales pedagógicos de manera más sistemática. Existe para escalar la producción de recursos docentes sin tener que construir cada notebook desde cero, y para mantener una línea más consistente de materiales. Sigue activo porque reduce mucho el costo de preparar práctica guiada para estudiantes. El progreso real consiste en mejorar el dataset fuente, la calidad de los notebooks generados y la facilidad de adaptar el output a distintos cursos o necesidades."
87,LDD Learning Hub (teaching platform),M,project,Hub de aprendizaje para Laboratorio de Datos que publica ejercicios y materiales prácticos en una superficie navegable.,"Este proyecto representa una plataforma o sitio de aprendizaje surgido a partir del generador de materiales, con foco en los notebooks y ejercicios del curso Laboratorio de Datos de la UBA. Existe para ofrecer una superficie clara, accesible y reusable donde estudiantes puedan practicar ciencia de datos de forma hands-on. Sigue activo porque demuestra el valor de esa línea educativa y puede seguir creciendo como activo docente concreto. El progreso real consiste en mejorar navegación, cobertura de ejercicios y utilidad pedagógica de la plataforma publicada."
N,Civic Information Systems,,group,"Frente de proyectos orientado a construir infraestructura cívica de datos, análisis territorial y superficies públicas sobre información social y estatal.","Este grupo reúne proyectos que transforman fuentes censales, encuestas, precios, mapas y datos públicos en sistemas más consultables, analizables y reutilizables. Su propósito es construir infraestructura cívica de información que sirva tanto para investigación y diagnóstico como para productos públicos, visualizaciones o herramientas de decisión. Sigue activo porque combina valor técnico, valor público y continuidad con varias de tus líneas más importantes de trabajo. El progreso real en este grupo se ve cuando los datos quedan mejor canonizados, los pipelines son más robustos y las superficies resultantes permiten observar mejor la realidad social, territorial o económica."
50.1,Argentina Census Sampler,N,project,Herramienta para muestrear y explorar datos censales argentinos de forma más ágil y reusable.,"Este proyecto apunta a crear una capa de muestreo o exploración rápida sobre datos del censo argentino para facilitar pruebas, análisis preliminares y desarrollo de pipelines sin depender siempre de recorridos pesados sobre el universo completo. Existe para acelerar trabajo técnico y analítico sobre datos censales complejos, permitiendo iteración más liviana en etapas tempranas. Sigue activo porque una buena capa de sampling mejora mucho la velocidad de desarrollo y validación de ideas. El progreso real consiste en obtener muestras más útiles, reproducibles y compatibles con análisis o herramientas downstream."
50.2,Censo Data Infrastructure (canonical),N,project,"Infraestructura canónica para organizar, normalizar y servir datos del censo argentino.","Este proyecto busca construir una base canónica para trabajar con datos censales de Argentina, definiendo estructuras, convenciones y transformaciones que eviten proliferación de versiones incompatibles. Su motivación es dar una columna vertebral más estable a análisis, mapas y productos que dependen del censo, reduciendo fricción y ambigüedad técnica. Sigue activo porque muchos proyectos posteriores requieren una capa censal sólida y reusable. El progreso real se ve cuando la infraestructura define mejor los datos base, simplifica el acceso y vuelve más confiables los usos posteriores."
50.4,Mapas Censo ARG,N,project,Superficie cartográfica para visualizar y comunicar información censal argentina de forma navegable.,"Este proyecto convierte datos censales en mapas y visualizaciones territoriales que permitan observar patrones espaciales con más claridad. Existe para pasar de tablas y archivos técnicos a una superficie más interpretable y útil para análisis, comunicación o exploración pública. Sigue activo porque la dimensión geográfica del censo es central y porque las superficies cartográficas pueden amplificar mucho el valor de los datos procesados. El progreso real consiste en mejores capas, mejor legibilidad territorial y una experiencia más útil para explorar información censal."
49,Redatam opening for Censo 22,N,project,"Herramientas y estrategia para abrir, extraer o volver explotables datos del Censo 2022 desde Redatam.","Este proyecto se enfoca en resolver la fricción técnica y metodológica de trabajar con datos del Censo 2022 a través de Redatam o superficies afines. Su motivación es abrir una fuente importante pero operativamente incómoda, para integrarla en workflows más modernos de análisis, extracción o publicación. Sigue activo porque desbloquear bien esa fuente puede habilitar muchos usos downstream. El progreso real consiste en mejorar extracción, reproducibilidad y compatibilidad con el resto de tu infraestructura censal."
52.8,Encuestador de hogares,N,project,Repositorio de modelos de machine learning sobre EPH para predecir ingresos y otras variables de personas y hogares.,"Este proyecto reúne clasificadores y regresores entrenados sobre la Encuesta Permanente de Hogares para predecir ingresos y otras variables relevantes de personas y hogares. Existe para explotar la EPH como base de modelado y generar capacidades predictivas útiles sobre variables socioeconómicas. Sigue activo porque combina valor metodológico, potencial analítico y conexión con otros frentes de datos públicos y pobreza. El progreso real se ve cuando mejoran los modelos, se clarifican mejor los targets y outputs, y el repositorio ofrece resultados más sólidos y reutilizables."
52.9,Canastas Indec,N,project,"Pipeline o superficie para seguir, estructurar y explotar datos de canastas e indicadores de INDEC.","Este proyecto busca organizar información vinculada a canastas de consumo u otros indicadores del INDEC en una forma más usable y monitoreable. Su motivación es convertir series o publicaciones oficiales en una capa de datos más directa para análisis, seguimiento o comparación. Sigue activo porque estos datos son útiles tanto para lectura económica como para productos aplicados o monitoreo. El progreso real consiste en mejorar captura, limpieza y consulta de la información, y producir una base más práctica para análisis downstream."
52.3,EPH Census Aligner,N,project,Pipeline para alinear estructuras de EPH y censo y hacer comparables sus datos.,"Este proyecto se ocupa de vincular o armonizar dimensiones entre la EPH y fuentes censales para facilitar análisis comparativos o integrados. Existe para reducir incompatibilidades entre dos universos de datos muy relevantes pero con estructuras y convenciones distintas. Sigue activo porque esa alineación puede habilitar análisis más ricos y productos metodológicamente más sólidos. El progreso real consiste en mejorar correspondencias, justificar mejor los empalmes y producir datasets más consistentes para uso analítico."
48.1,Poverty data pipeline,N,project,"Pipeline central para producir, transformar y servir datos vinculados a pobreza.","Este proyecto organiza el flujo técnico que lleva datos crudos, indicadores y transformaciones hacia una base utilizable para medición o visualización de pobreza. Su motivación es dar robustez y continuidad a uno de tus frentes más importantes de análisis público y producto de datos. Sigue activo porque la calidad del pipeline condiciona la confiabilidad de los resultados, mapas y series que se publiquen. El progreso real se ve cuando el pipeline es más reproducible, más claro y más fácil de mantener o actualizar."
48.2,Poverty Web Maps,N,project,Superficie web cartográfica para publicar y explorar indicadores de pobreza.,"Este proyecto convierte outputs del pipeline de pobreza en una experiencia web navegable, con foco en visualización territorial y acceso más amplio a los resultados. Existe para comunicar mejor información compleja y para dar una forma pública o semipública a trabajo de análisis que de otro modo quedaría en archivos técnicos. Sigue activo porque es una de las superficies más visibles y potencialmente valiosas de esa línea de trabajo. El progreso real consiste en mejorar claridad, cobertura, robustez de publicación y utilidad de exploración."
53,GeoTools Suite,N,project,"Conjunto de herramientas geoespaciales reutilizables para análisis, transformación y publicación territorial.","Este proyecto agrupa utilidades geográficas o geoespaciales que sirven como caja de herramientas para distintos pipelines de mapas, territorio y datos públicos. Su motivación es evitar reimplementar funciones espaciales dispersas y contar con módulos reutilizables para transformación, validación o renderizado territorial. Sigue activo porque varios proyectos dependen de capacidades geoespaciales compartidas. El progreso real consiste en ampliar cobertura útil, mejorar robustez y volver más fácil el reuso de estas herramientas entre proyectos."
54,Elecciones ARG / Peronómetro,N,project,Visualizador electoral que compara desempeños de fuerzas políticas entre elecciones mediante mapas superpuestos.,"Este proyecto es un visualizador de información electoral orientado a comparar el desempeño de distintas fuerzas en distintas elecciones usando un mapa con un deslizador de superposición de izquierda a derecha. La idea es poder poner una fuerza o elección por encima de otra y explorar visualmente diferencias territoriales de manera directa. Existe para convertir datos electorales en una superficie comparativa más intuitiva y expresiva que una tabla estática. Sigue activo porque tiene valor analítico, comunicacional y cívico como producto de datos. El progreso real consiste en mejorar datasets, comparaciones disponibles, robustez del visor y claridad interpretativa del mapa."
